question,contexts,ground_truth,evolution_type,metadata,episode_done
How is the fourth installment of 'John Wick' performing at the cinemas?,"[': 2\nReview: With the fourth installment scoring immensely at the cinemas as I\'m submitting this review, and after three previous films that are apparently loved by everyone else in the world, I thought perhaps it would be time for me check out ""John Wick"".']",The fourth installment of 'John Wick' is scoring immensely at the cinemas.,simple,"[{'source': 'john_wick_1.csv', 'row': 2, 'Review_Date': '5 May 2023', 'Review_Title': "" You don't mess with another person's dog. It's as simple as that!\n"", 'Review_Url': '/review/rw9033669/?ref_=tt_urv', 'Author': 'Coventry', 'Rating': 5, 'Movie_Title': 'John Wick 1', 'last_accessed_at': datetime.datetime(2024, 9, 29, 20, 16, 21, 775318)}]",True
"What makes the movie John Wick a ""ride of your life"" for action fans?","["": 8\nReview: It's hard to find anything bad to say about John Wick. The action is beautifully choreographed, the setup is surprisingly emotional for an action flick, and Keanu.... What more is there to say? If you love action or even just like it you will be in for the ride of your life.""]",The movie John Wick is a 'ride of your life' for action fans because the action is beautifully choreographed and the setup is surprisingly emotional for an action flick.,simple,"[{'source': 'john_wick_1.csv', 'row': 8, 'Review_Date': '23 February 2020', 'Review_Title': ' love this movie highly recommend\n', 'Review_Url': '/review/rw5503708/?ref_=tt_urv', 'Author': 'MrHeraclius', 'Rating': 0, 'Movie_Title': 'John Wick 1', 'last_accessed_at': datetime.datetime(2024, 9, 29, 20, 16, 21, 775326)}]",True
How does John Wick: Chapter 2 succeed immensely despite its high level of violence?,"["": 2\nReview: A film with more head-shots than words spoken, John Wick: Chapter 2 is just about the most violent film I've seen in quite some time. But it knows exactly what it wants to do, and succeeds immensely.""]",The answer to given question is not present in context,simple,"[{'source': 'john_wick_2.csv', 'row': 2, 'Review_Date': '14 February 2017', 'Review_Title': ' Professional Courtesy\n', 'Review_Url': '/review/rw3640053/?ref_=tt_urv', 'Author': 'ThomasDrufke', 'Rating': 8, 'Movie_Title': 'John Wick 2', 'last_accessed_at': datetime.datetime(2024, 9, 30, 20, 16, 21, 775643)}]",True
What aspects of the action sequences in the third JOHN WICK film demonstrate the inventiveness of the non-repetitive action?,"[': 19\nReview: The inevitable third chapter of the JOHN WICK franchise continues on a high with the same quality as the last. In fact, this may just pip that one to the post to be the best JOHN WICK yet. The pacing is spot on and the plotting is measured by a huge amount of action sequences, all of which fizz and crackle with skill and energy. The movie hits the ground running as Keanu faces off with a hulking character in a library and then Triads in a weapon shop, but what really amazes here is the sheer inventiveness of the non-repetitive action. There are horse and motorbike chases, a Moroccan brawl with fighting dogs, alongside the massive action of the climax. There also seems to be a greater emphasis on hand-to-hand combat, featuring the likes of RAID actors and old-timer Mark Dacascos, which is a real pleasure as the choreography is top-notch. In terms of sheer enjoyment, this is a film hard to beat, and to criticise it at all is unnecessary. Bring on the fourth!']","The action sequences in the third JOHN WICK film demonstrate inventiveness through horse and motorbike chases, a Moroccan brawl with fighting dogs, and a greater emphasis on hand-to-hand combat featuring RAID actors and Mark Dacascos.",simple,"[{'source': 'john_wick_3.csv', 'row': 19, 'Review_Date': '22 September 2019', 'Review_Title': ' Sheer enjoyment\n', 'Review_Url': '/review/rw5135863/?ref_=tt_urv', 'Author': 'Leofwine_draca', 'Rating': 9, 'Movie_Title': 'John Wick 3', 'last_accessed_at': datetime.datetime(2024, 10, 1, 20, 16, 21, 775950)}]",True
What made the first John Wick film stand out from other action films?,"[': 5\nReview: The first John Wick film was special because it broke a mold of sorts. It went against certain action film conventions - the hero was not a muscle bound hulk like a Schwarzenegger or Stallone, the action was super fast paced, the plot was basic and straighforward, but introduced some unique elements, and there was something a bit unique and stylish about the film. John Wick was cool.']","The first John Wick film stood out from other action films because it broke certain conventions: the hero was not a muscle-bound hulk like Schwarzenegger or Stallone, the action was super fast-paced, the plot was basic and straightforward but introduced some unique elements, and there was something unique and stylish about the film.",simple,"[{'source': 'john_wick_3.csv', 'row': 5, 'Review_Date': '17 July 2019', 'Review_Title': ' The magic is gone\n', 'Review_Url': '/review/rw4999970/?ref_=tt_urv', 'Author': 'soundoflight', 'Rating': 5, 'Movie_Title': 'John Wick 3', 'last_accessed_at': datetime.datetime(2024, 10, 1, 20, 16, 21, 775936)}]",True
What events lead to John Wick being revealed as a super-assassin?,"["": 18\nReview: When the story begins, John (Keanu Reeves) has just lost his wife. After her death, he's a bit lost but tries to rebuild his life. One day, he's getting gas and a young Russian-American punk notices Wick's classic car...and tries to buy it off him. But Wick isn't interested and declines. Soon, the punk arrives at Wick's home with some goons where they surprise him--beating him senseless, destroying his stuff, killing his dog and stealing his car! This is when you then learn that Wick is a super-assassin....and the punk chose the wrong guy to attack. The jerk's father is a big-time Russian mobster....and it's a contest to see who will win...the mobster and his gang or Wick on his own. Considering there are (so far) two MORE John Wick films, it pretty much seems certain who will win this battle.""]","John Wick is revealed as a super-assassin after a young Russian-American punk and his goons attack him at his home, beating him senseless, destroying his belongings, killing his dog, and stealing his car.",simple,"[{'source': 'john_wick_1.csv', 'row': 18, 'Review_Date': '10 September 2019', 'Review_Title': ' Probably NOT a film to watch with your kids or mother.\n', 'Review_Url': '/review/rw5112990/?ref_=tt_urv', 'Author': 'planktonrules', 'Rating': 7, 'Movie_Title': 'John Wick 1', 'last_accessed_at': datetime.datetime(2024, 9, 29, 20, 16, 21, 775335)}]",True
What makes the John Wick movies described as unintelligent violent nonsense?,"[': 3\nReview: These John Wick movies can be sort of fun in the sense that they are unintelligent violent nonsense pretending to be movies. There is something entertaining about dumb nonsense sometimes, and the first two of this franchise was decently okay in this regard. The last one and this one however not so much, only dumb.']",The John Wick movies are described as unintelligent violent nonsense because they are perceived as dumb nonsense that pretends to be movies.,simple,"[{'source': 'john_wick_4.csv', 'row': 3, 'Review_Date': '23 May 2023', 'Review_Title': ' I was rolling my eyes the whole time... all 3 hours...\n', 'Review_Url': '/review/rw9072963/?ref_=tt_urv', 'Author': 'namob-43673', 'Rating': 3, 'Movie_Title': 'John Wick 4', 'last_accessed_at': datetime.datetime(2024, 10, 2, 20, 16, 21, 776360)}]",True
What role does the horde of assassins play in John Wick: Chapter 2?,"["": 12\nReview: If there's an equivalent of classical orchestra for untamed unapologetically brutal carnage, there's no doubt it'd be John Wick. Dancing through hail of bullets, horde of assassins straight from video game, oozing noir style from each drop of blood, John Wick: Chapter 2 is nothing short of an artistic spectacle.""]","The horde of assassins in John Wick: Chapter 2 contributes to the film's depiction of untamed, unapologetically brutal carnage, akin to a classical orchestra, and adds to the artistic spectacle of the movie.",simple,"[{'source': 'john_wick_2.csv', 'row': 12, 'Review_Date': '8 February 2017', 'Review_Title': ' Love letter for action genre written by bold bloody hallmark, and a pencil.\n', 'Review_Url': '/review/rw3635439/?ref_=tt_urv', 'Author': 'quincytheodore', 'Rating': 9, 'Movie_Title': 'John Wick 2', 'last_accessed_at': datetime.datetime(2024, 9, 30, 20, 16, 21, 775653)}]",True
What does Santino D'Antonio hope to achieve by having John Wick kill his sister Gianna D'Antonio?,"["": 20\nReview: After resolving his issues with the Russian mafia, John Wick (Keanu Reeves) returns home. But soon the mobster Santino D'Antonio (Riccardo Scamarcio) visits him to show Wick's marker and tells that he needs to help. John Wicks refuses since he is retired and Santino blows-up his house. John Wick meets the owner of the Continental hotel in New York City, Winston (Ian McShane), and he tells that Wick cannot violate the Mafia rules and shall honor the marker. Santino asks John Wick to kill his sister Gianna D'Antonio (Claudia Gerini) in Rome so that he can sit on the High Table of the criminal organizations. When John Wicks accomplishes his assignment, Santino puts a seven-million dollar contract on him attracting professional killers from everywhere. But Wick promises to kill Santino that is not protected by his marker anymore.""]",Santino D'Antonio hopes to sit on the High Table of the criminal organizations by having John Wick kill his sister Gianna D'Antonio.,simple,"[{'source': 'john_wick_2.csv', 'row': 20, 'Review_Date': '28 May 2017', 'Review_Title': ' A New Franchise is Born\n', 'Review_Url': '/review/rw3718180/?ref_=tt_urv', 'Author': 'claudio_carvalho', 'Rating': 8, 'Movie_Title': 'John Wick 2', 'last_accessed_at': datetime.datetime(2024, 9, 30, 20, 16, 21, 775660)}]",True
Why is the helicopter shot of a city considered a usual scene filler in movies?,"[': 22\nReview: All the below are non-creative copying of past movies (done many times before): 1. Opening scene - alarm clock going off. 2. Coffee brewing. 3. Casket being lowered; raining for effect; long shot of cemetery showing stranger watching. 4. Afterwards, solemn wake party. 5. Mystery package at door. From? Of course. 6. Bad guys are (Guess what nationality?) $1000 if you have no idea. And, of course, are as stereotypic as cut-out doll figures. 7. Older hot cars and lots of squealing tires, burning rubber (or synthetic equivalent). You would think Reeves character would be past that 17 year old\'s infatuation. 8. Master killer still has an arsenal hidden away, why? Anticipated this precise series of events unfolding many years earlier. Or, nostalgia. 9. Reeves is covered in tats, of course, to show us toughness. Russian iconic tats no less - oops! 10. Dozen (cheaper that way) bad guys need some skill training because they\'re slow, dumb and can\'t seem to shoot at a target a few feet away and always walk around corners without looking first. 11. Been done before ""cleaning crew"" just a call away to dispose of waste animal tissue (human of course). They always look the same in these movies. 12. Usual cheap scene filler, and getting really tedious, helicopter shot of city and car traveling on road below (even did a several times). 13. Background music the usual rock/blues/alter/jazz sound. 14. Barely clothed chicks tossed in for the male viewer and one to be bad. 15. Same old club scenes with strobes. 16. Usual wharf/dock driving and shooting scenes. 17. Now for the fun part and a new record surpassing the past record of 65 kills by one individual in a movie (can\'t remember the movie from a couple of years ago but it had that Detroit blighted semi-deserted projects, public housing/towers backdrop with this guy going through the floors shooting all the druggies). The new record for a movie is (drum roll) 73 by Reeves and 8 by others = 81 (maybe more, hard to keep track at times).']","The helicopter shot of a city is considered a usual scene filler in movies because it is a common and repetitive element that has been used many times before, making it tedious.",simple,"[{'source': 'john_wick_1.csv', 'row': 22, 'Review_Date': '12 February 2015', 'Review_Title': ' Storytelling is Good Copying\n', 'Review_Url': '/review/rw3182143/?ref_=tt_urv', 'Author': 'westsideschl', 'Rating': 2, 'Movie_Title': 'John Wick 1', 'last_accessed_at': datetime.datetime(2024, 9, 29, 20, 16, 21, 775339)}]",True
How do Keanu Reeves and the film's action style make John Wick a top hit?,"["": 9\nReview: At first glance, John Wick sounds like a terrible film on paper but with the slickness of Keanu Reeves' performance as the titular character and the sheer brilliance in its action sequences, this marks the best action film of the year and one of the absolute best in the past decade. Following a brutal home invasion that leaves his beloved dog murdered by thugs from his past, John Wick vows revenge on the ones who have taken what he loves most. Like I said, on paper, this seems like a direct-to-DVD slopfest starring John Cena but as a film with Keanu Reeves as the lead, it marks the very welcomed return for Reeves to the genre. John Wick is insanely fun, violently brutal and an overall romp especially for those disappointed by The Expendables 3. John Wick is propelled by Tarantino-esque dialog mixed with the swagger of action stars from the 70s. Reeves literally emulates cool in this film and does it with such confidence, that we don't even doubt the character...even when he kills countless bad guys with extreme force in some utterly ridiculous and implausible situations. We don't doubt it for a minute. This is EXACTLY what you want out of an action film. It is briskly paced, brilliantly shot and meticulously choreographed and keeps you wanting more and more. The supporting cast filled with the likes of John Legiuzamo, Ian McShane, and Willen Dafoe also keeps this film very interesting. These guys don't play good guys, hell, John Wick by traditional standards would be a bad guy in any other film. Every character is more ruthless than the next and pushes John Wick to be more ruthless than they are, creating a very cool dynamic between the character and the plot regarding the idea of how far is too far? However, don't expect some revelation from John Wick regarding the morality of bad and evil. This film wants you entertained and does so with brute force, it never lets up, not even for a second. One scene in particular that will have your blood pumping is a showdown between thugs and Wick in a nightclub. This action sequence remains the best in the film and will have you grasping your theater seat because of the sheer intensity of it. Overall, John Wick is slick, violent fun that turns into a remarkable, surprising film that will catch you off guard. It is THAT good. I highly recommend this film to action buffs especially but I'm sure those who just like a good movie will love it as well.""]","Keanu Reeves' performance as the titular character and the sheer brilliance in its action sequences make John Wick a top hit. Reeves emulates cool with confidence, and the film is briskly paced, brilliantly shot, and meticulously choreographed, keeping viewers wanting more. The film's Tarantino-esque dialog mixed with the swagger of action stars from the 70s also contributes to its success.",multi_context,"[{'source': 'john_wick_1.csv', 'row': 9, 'Review_Date': '20 October 2014', 'Review_Title': "" The coolest action film you'll see all year\n"", 'Review_Url': '/review/rw3107759/?ref_=tt_urv', 'Author': 'trublu215', 'Rating': 9, 'Movie_Title': 'John Wick 1', 'last_accessed_at': datetime.datetime(2024, 9, 29, 20, 16, 21, 775327)}]",True
How does John Wick go from getting his car to a $7M bounty and facing Santino?,"["": 5\nReview: Iosef's uncle still has John Wick's car. Wick comes after it and the uncle accepts his offer of peace. He hopes to return to his peaceful retirement but crime lord Santino D'Antonio calls in his Marker. He faces deadly assassins, numerous killers, and countless thugs as Santino uses him to gain power even offering a $7 million contract."", "": 20\nReview: After resolving his issues with the Russian mafia, John Wick (Keanu Reeves) returns home. But soon the mobster Santino D'Antonio (Riccardo Scamarcio) visits him to show Wick's marker and tells that he needs to help. John Wicks refuses since he is retired and Santino blows-up his house. John Wick meets the owner of the Continental hotel in New York City, Winston (Ian McShane), and he tells that Wick cannot violate the Mafia rules and shall honor the marker. Santino asks John Wick to kill his sister Gianna D'Antonio (Claudia Gerini) in Rome so that he can sit on the High Table of the criminal organizations. When John Wicks accomplishes his assignment, Santino puts a seven-million dollar contract on him attracting professional killers from everywhere. But Wick promises to kill Santino that is not protected by his marker anymore.""]","John Wick retrieves his car from Iosef's uncle and hopes to return to his peaceful retirement. However, crime lord Santino D'Antonio calls in his Marker, demanding Wick's help. When Wick refuses, Santino blows up his house. Wick is then told by Winston, the owner of the Continental hotel, that he must honor the Marker. Santino asks Wick to kill his sister Gianna D'Antonio in Rome so that he can sit on the High Table of the criminal organizations. After Wick completes the assignment, Santino places a seven-million dollar contract on him, attracting professional killers from everywhere.",multi_context,"[{'source': 'john_wick_2.csv', 'row': 5, 'Review_Date': '7 October 2017', 'Review_Title': ' more Gun Fu\n', 'Review_Url': '/review/rw3825224/?ref_=tt_urv', 'Author': 'SnoopyStyle', 'Rating': 6, 'Movie_Title': 'John Wick 2', 'last_accessed_at': datetime.datetime(2024, 9, 30, 20, 16, 21, 775646)}, {'source': 'john_wick_2.csv', 'row': 20, 'Review_Date': '28 May 2017', 'Review_Title': ' A New Franchise is Born\n', 'Review_Url': '/review/rw3718180/?ref_=tt_urv', 'Author': 'claudio_carvalho', 'Rating': 8, 'Movie_Title': 'John Wick 2', 'last_accessed_at': datetime.datetime(2024, 9, 30, 20, 16, 21, 775660)}]",True
"What trouble does John Wick face with The Marquis' power, given his history with Santino and the criminal code?","[': 1\nReview: The Table, the international crminal brotherhood which has condemned John Wick empowers The Marquis to deal with him (and the Manager of the New York Continentale Hotel). But maybe, just maybe, there is a way out.', "": 20\nReview: After resolving his issues with the Russian mafia, John Wick (Keanu Reeves) returns home. But soon the mobster Santino D'Antonio (Riccardo Scamarcio) visits him to show Wick's marker and tells that he needs to help. John Wicks refuses since he is retired and Santino blows-up his house. John Wick meets the owner of the Continental hotel in New York City, Winston (Ian McShane), and he tells that Wick cannot violate the Mafia rules and shall honor the marker. Santino asks John Wick to kill his sister Gianna D'Antonio (Claudia Gerini) in Rome so that he can sit on the High Table of the criminal organizations. When John Wicks accomplishes his assignment, Santino puts a seven-million dollar contract on him attracting professional killers from everywhere. But Wick promises to kill Santino that is not protected by his marker anymore.""]","The context does not provide specific details about the trouble John Wick faces with The Marquis' power, given his history with Santino and the criminal code.",multi_context,"[{'source': 'john_wick_4.csv', 'row': 1, 'Review_Date': '30 March 2023', 'Review_Title': ' There is such a thing as too much\n', 'Review_Url': '/review/rw8960544/?ref_=tt_urv', 'Author': 'neil-476', 'Rating': 5, 'Movie_Title': 'John Wick 4', 'last_accessed_at': datetime.datetime(2024, 10, 2, 20, 16, 21, 776358)}, {'source': 'john_wick_2.csv', 'row': 20, 'Review_Date': '28 May 2017', 'Review_Title': ' A New Franchise is Born\n', 'Review_Url': '/review/rw3718180/?ref_=tt_urv', 'Author': 'claudio_carvalho', 'Rating': 8, 'Movie_Title': 'John Wick 2', 'last_accessed_at': datetime.datetime(2024, 9, 30, 20, 16, 21, 775660)}]",True
How do a stolen car and old debt lead to John Wick's travels and confrontations in the sequel?,"["": 19\nReview: If you've seen the first John Wick movie, you know that Keanu Reeves is John Wick, a retired assassin who comes out of retirement when someone kills his dog. In this one, which begins a week later, matters are still reverberating, and some one has stolen his car, which calls for a lot of carnage. That settled, John is called on to pay off an old debt by helping Ian McShane take over the Assassin's Guild by flying around to Italy, Canada and Manhattan and killing what seems like hundreds of assassins.""]","In the sequel, John Wick's travels and confrontations are triggered by the theft of his car and the need to pay off an old debt. This leads him to help Ian McShane take over the Assassin's Guild, which involves traveling to Italy, Canada, and Manhattan and engaging in numerous confrontations with assassins.",multi_context,"[{'source': 'john_wick_2.csv', 'row': 19, 'Review_Date': '29 November 2020', 'Review_Title': ' John Wick Kills A Lot Of People\n', 'Review_Url': '/review/rw6320115/?ref_=tt_urv', 'Author': 'boblipton', 'Rating': 5, 'Movie_Title': 'John Wick 2', 'last_accessed_at': datetime.datetime(2024, 9, 30, 20, 16, 21, 775659)}]",True
